Text,Class,Type
"NOTES : This message is not important , I have already translated .",None,N/A
We have no food to eat . We can not feed the children .,Food,need
I want to work I need food Whatever that I find and both will good Thanks,Food,need
"I am a victim of the earthquake . I live in Mariani 1 , we have problem : no drinking water as well as tent . We are waiting for your response .",Water,need
"Sir or madam , I 'm hungry , I can not stand because I 'm very hungry , if you could share the food , it would benefit the population , thanks",Food,need
"I live in La Plaine , my wife is pregnant , she got injured by falling blocks . She can not walk . we have not found anyone to help us . We are in the area called Moya",Medical,need
I do n't need to know the price of food because I do n't have money . I just need to eat .,None,N/A
Message to be forwarded to government and to broadcast on radio : we are in Kensnoff and the quake hit us hard . We need to eat,Food,need
"Good evening , it makes a very long time that I did n't receive some information",None,N/A
NOTES : it 's not important message,None,N/A
"Hello , I am in Fort Jacques , a wall fell on my legs , I need HELP",Medical,need
"Oh my God . I would like to know why we are not getting aid . Those of us who are in Signo , Geren , Brach . We have 4 little bags of rice , 1/2 gallon of oil , a small bag of beans for 22 people .",Food,need
when exactly the activities for the passport will restart ?,None,N/A
I do n't have water and Aguatab in the roadcross Paloma,Water,need
"Hello , when will American Airline reopen commercial flights ?",None,N/A
"I salute your staff , but I need help because I ca n't find food . I sent a message before but I did n't get a response . Find a way to respond , children of the Good Lord .",Food,need
".. what we had to eat is all done , . We are about 240 people",Food,need
What Can I do if I want to have a job ?,None,N/A
There is a man who need therapy . Where can he go ? What can we do in this situation ?,Medical,need
I want you to understand that we are hungry . . We all . . I would like us to get a good answer,Food,need
"I would like in anyway possible for the responsible authorities to reinstate the school again in Haiti . And to ask for scholarship , I would also like a scholarship . Thank you .",None,N/A
We are in Leogane . We need food and care . We are really in needs .,Food,need
If I would like to make a passport where must I go and with wich document to present me ?,None,N/A
What is the government intend to do for the people who lost their passport and ID cards,None,N/A
i would like a little information on children for adoption please,None,N/A
"Please , what can I do to get a food card or where can I go , thanks in advance",None,N/A
"my house has collapsed i m living in the streets with 7 kids , my father , my mom and my wife . .. what can i do we are hungry",Food,need
My house has collapsed because of flood . I am unable to make it again . I am in grave difficulty . My three little daughters and rest of my home members ...,Medical,need
"HELLO , I would like TO REGISTER ME In the SERVICE INFORMATION THANK YOU .",None,N/A
"my friend i have heard nothing again . i have a lot of problems . what u give i 'll take I am in Jeremi , i want u to help me",Medical,need
How can I find a pass for the food distribution programm please ?,Food,need
Where in Delmas are they giving out food ?,Food,need
"Good evening . Is it possible for an aftershake to attain level 6 and then last a long time such as 10 , 15 , 20 minutes and more ?",Medical,need
information about something i must to know .,None,N/A
"Provide mobile public toilets , mobile clinics please because we 'll all in the streets .",Medical,need
"what should we do when people are talking back to us , thank you .",None,N/A
We 're hungry . We need help at Cote Plage 26 in Carrefour,Food,need
"Please , do someting for me because I have a younger sister who 's traumatized and my house is almost down Thanks beforehand .",Medical,need
"Does the school should parents pay three month , at what month the test will be .",None,N/A
"Good morning DIGICEL i like the job we do , i ca n't dispense the network '' '' I wish you happy birthday '' '' . A client who think with you .",None,N/A
"I need to eat , go to school and i need haiti rebuil so fast .",Food,need
"People in Plaisance , in the North of the Country have problems/ Most houses have more than 20 people who came from PAP . They do n't have anything to eat . At this time , they need help .",Food,need
please what can you do for me because I need tent or prelate and food too if u have thank u,Food,need
I would like to receive information . Thank you,None,N/A
I am a journalist . How can I get a job ?,None,N/A
thursday 12 january at 4h 53 pm,None,N/A
why they not do the pasport for the old man anymore?when they do for them,None,N/A
information that I need what you see for tonight,None,N/A
I would like to find a job or continu whit my school,None,N/A
"Everyone , people of Grande Saline le Lambi are asking for aid because they have not seen anyone . We problem of water shortage . We have a reservoir to put the water . Ed",Water,need
"I and my family ( 16 persons ) in 3e comunal section TiBoukan , Gressier , we never find any food , anything .",Food,need
we do n't have tents and foods on the road ' ' Bassin General ( Dyewon ) '',Food,need
"my house crumbled over myself and a 2 month old baby - he 's still alive , but i think he 's hurt and needs medical attention",Medical,need
we are at Sarte impasse Philadelphia . We lost everything we do nt have food we,Food,need
"We need water and food , please help us because we do n't have any help Clercine 4",Medical,need
"I need son food because I have the necessity , please help me .",Food,need
"we need TENTE , food , everything . .. .. .. .. ...",Food,need
"we ca n't prevent ( fight / deter ) the mosquitos , ? ? ? because there are so many",None,N/A
Thank you for always keeping me inform,None,N/A
can u bring me something to eat .,Food,need
But us in Les Cayes still have not found anything at all . You distributed it all in one place ..,None,N/A
"In the valley of Jacmel , we have a lot of problem . The population has increased and food has become scarce . We do n't have cards to establish contact .",Food,need
"please pass this message with the ONG that place to give help in the style of casea we requiere help in area of Canapevert exactly for the cleanning of the toilets , and we requier also to place more toilets with the quantity of persons that need to use for urine daily .",Medical,need
"In our village Kachipul flood has done very big damage . Our crop , our business - all have been destroyed . But Government has still not done any help of us .",Food,need
The Doctors without Borders Hospital in Delmas 19 is closed . The Saint Louis Gonzaga hospital in Delmas 33 is taken in sick and wounded people for free,Medical,need
"What kind of urgent information like : death , disease or epidemic .",Medical,need
mother care and sanitary material required for women .,Medical,need
I would like more information on the country .,None,N/A
4636 if you have babies keep giving them breast milk as long as you can to replace the lost fluids,None,N/A
I ca nt get any food aid and need a coupon,Food,need
WHEN THE FLIGHT STARTING AGAIN TO FLORIDA,None,N/A
I would like to register today .,None,N/A
"Please , I waiting your answer . Thanks",None,N/A
"Please we need help , please send food for us we live on Route Freres",Food,need
I need someone who can give me some advice .,None,N/A
"Today 's earthquake occurred , in Remen people out there who lost homes are sleeping in their seren and suffer hunger with many thanks , reply .",Food,need
"People who are located above Descaillets need shelter ( tents ) to protect the babies from light rain ( outside ) , because they are sick . please help us",Medical,need
"food require at Karora , Dist Shangla",Food,need
Where can i find a PAM office in Carrefour ?,None,N/A
"I know how to speak English , french , I can type on the computer . I need a job .",None,N/A
we have a lot of problems at Cap Haitian . The Hospital can not take anymore people . Come help us please,Medical,need
I have not found a phone or aid . Send us something because we are not well at all,Energy,need
I 'm haitian doctor and i own an organization . i need medicine to help people near my house,Medical,need
We send an SOS for bugs that are biting the kids . The Department of Public Health and Population ( MSPP ) must come and spray the area,Medical,need
"the information we have to know about : Cyclone , health , education",Medical,need
You do n't understand what I tell you there is a population people in Guiton that for 16 days has not had food,Food,need
"I am Pestel , there is no food , there is nothing . We are at Dipi 's house , please , we are waiting for you",Food,need
Please I 'm tirsty water in delmas 3,Water,need
"I would like to get the phone number for Doctors without Borders , Pam or Care .",Medical,need
he knows how we where build from the dust,None,N/A
I find never the answer about my question .,None,N/A
The people from inside the Village rapatriye in La Plaine did n't receive any help .,Medical,need
We need help in Morija Diquini 63 . There is no water nor tents for us to sleep in . They have not brought anything for us . Other places have gotten things . Do what you can to send aid for us . God will bless you .,Water,need
"We are in Jean Rabel , we have nothing to eat . Please come to us because we were in Port - au - Prince , we lost everything",Food,need
"No location : It was going to be my last school year , I did not learn anything yet in order to have a resume and find a Job .",None,N/A
That 's not to the american people to tell us what we must do . Ok !,None,N/A
"we are dying from hunger , please help us with that situation , my address is ( second narrow street of patience ) .",Food,need
I regreat the people who living at taba street sol solon do n't have shelter .,Medical,need
People in Fontamara are starving . Please let the people distributing the aid know about this situation .,Food,need
There are a lot of diseases from infection in haiti -- what should we do ?,Medical,need
And for identify national card .,None,N/A
"We are more than 50 people sleeping on the street . Please help us find tent , food .",Food,need
"and if I had another problem in my eyes , me I have a problem in my eyes . how do have been able to help me ?",Medical,need
"I need to get to Cap Haitien , can I go ?",None,N/A
"We 're in the area of Belair , at the foot of Morne Karate , on the road L'Amitie de Jacmel . We are writing to request some assistance because things are not going well for us . Thanks in advance .",Medical,need
"I 'm at St - Marc , I just came up to save some lives and they need it . They do nt have shelter nor do they have food .",Food,need
How the temperature this morning ?,None,N/A
hunger is going to end up lilling me . nothing is reaching carrefour ( neighborhood ),Food,need
We need food . Our address is ( waney 87 # 451 ( inside ) Carrefour,Food,need
"Please , I need for you all to think about us because we need food as soon as possible , please . Delma 31 Rue Jacques . Yesterday , a truck went by . You 're an angel .",Food,need
"we are in Sarte , dead end Philadelphia . We have nothing left and we have no food .",Food,need
"help me has to let the message pass while inviting all the others has to come towards jesus and receive the benediction , the peace , the happiness , and life eternel",None,N/A
"Thanks for the informations , and tell me how can I find a ent because until now we just sleep below cheet",Medical,need
What do we have to do . .. to find food to eat . ..,Food,need
I need information about the country . How are things today ?,None,N/A
"NOTES : this message is n't important , It 's not interresing about my job .",None,N/A
I thank you for helping .. we have rice but we have not received a bit of oil or peas ( beans ) .,Food,need
"i need to know some informations about the country , for exemple : how will he stand ?",None,N/A
"just say UN for us , we are doing everything we know to be protect our health and Un what they are going to do for the people in Lilavois 5 in the cyclon season 's for us .",Medical,need
Hi Digicel Please . Since this morning . I ca n't make call on my cell phone . It 's sound busyPlease try to fix the problem for me,None,N/A
"Good evening , how do you feel , we never recieved the food where we live and that you promised us",Food,need
"My friend , here some advices of RESPROCI that is Rassemblement des Etudiants Solidaristes pour la Protection Citoyenne divide whith you in order to have a good life .",None,N/A
WE LEAVE TROUIN TO GET FOOD HELP US,Food,need
"we need help , we need water we are located at Mapou Prolong Village la paix ( Croix de Missions ) Port au Prince",Water,need
"If there 's a camp that need food distribution , what does he can do and how we can help him .",Food,need
We need the psychologist concerning the program framing in the district SIBERT thanks .,None,N/A
Helo United nations send to me HTG 500 please .,None,N/A
What should i do if i have spot up on me ?,None,N/A
".. Especially 11th section of this town where a lot of people will die of hunger , please call me on this number for more information .. give me an answer which can ..",Food,need
"their is someone that left their home and never remembered to call their family , they will never know what happen",None,N/A
"We are a kan of 600 people stationed at Riboncy Street . Honorat at Nazon area , we have no water and tent . Please help us .",Water,need
Where can one find a card to get some rice and when is this ending ?,Medical,need
a lot of people are victims even though it 's in Pernier they did the rice distribution . On ..,Food,need
tell him i ask job because i do n't find anything to do,None,N/A
Do n't question please on how the government is administering food distribution and reconstruction .,None,N/A
"Salutation ! Thank you very much for all your goods advices about health that you send me . The only thing , always remind that i have urgent need . There is a modification which made .",Medical,need
Good lord help us . Again I 'm at Reginal Croix - Deprez in Pacot,None,N/A
How are you ? Feeling better ? I have a very sore back also,None,N/A
where they should go for water today,Water,need
I live in Diquini in the seminary school . We have food problems . Please send something for us .,Food,need
Those people who live at Sibert need food they are hungry .,Food,need
"Where are the dollars to buy and sell , please . Thank you .",None,N/A
Please help me to find a job . I 'm student managment .,None,N/A
The desantralisation is the base of the national rebuilding but we need mayors and deputies serious and qualified . Thanks,None,N/A
I ask if you can help me go to Cailles so that I go to my family please . Thank you,None,N/A
I live in Saint Marc . My house is destroyed . My neighborhood needs food and money and I need w?okt??ou,Food,need
"we do nt have food distribution here , we die hungry since 12 days we do nt eat hurry up",Food,need
"Please , can we still be counted as victims of the drama that occured ? I am tired of sending messages to tell you that in La Gonave , we can no longer survive because famin ( empty stomach ) is overwhelming . .. URGENT TO RESPOND",Food,need
i would like to know in what number can i get in contact and unicef,None,N/A
NOTES : This person wanted to writed someone else . wrong number .,None,N/A
in jerome Bijou street ( Grand - Goave ) we do not find foods .,Food,need
GREETING TO ALL THE AUTHORITY WHO THINK of the Haitians . AFCA City we need flashlights . AS YOU ALREADY KNOW WE HAVE NOT ELECTRICITy,Energy,need
"We are in Carrefour Dufort , at Leogane City . Nobody visit us and we do n't find any aid , any food . We are about to die of hungry .",Food,need
People who are wonded are dying of hunger . I am asking you to take a look at us because ..,Food,need
I am an industrial engineer I would want to participate in the resconstruction of my country in the security I have a plan security .,None,N/A
we are a group of women in twitye in carrefour . we would like to know where we can get coupons or cards to receive food,Food,need
We need help alimentary in larat kadt(tomazo ),Food,need
NOTES : This message is n't important .,None,N/A
"Please , I have 10 people in my home since after the event . Now I do n't have anything to give them . I 'm asking you to help me find a little food for them .",Food,need
"Other our urgent is the fever get ravage transport the people that stable , itis a quetion to give some little box medicine while they give us the little substance thank u",Medical,need
In 1813 he wrote the girl ( comedie)en 1815 he wrote the death of the general La marre ( Drama ) in 1815 it composed from the towards for engraved to the bottom of a bust of PETION,None,N/A
I 'm a second year student in economics at Normal FIA . I need a job . Thanks .,None,N/A
Does Haitian Red Cross recruiting drivers nowadays ?,Medical,need
"Here in tabarre we do n't have electricity.we have have power outage . Yesterday , thives came here in tabarre and they did a lot of damage . Please we need electricity . We can organize ourselves if we have it .",Energy,need
"We are in Fort Jacques , near For Alexandre . Our house was destroyed , we have no food , please help us .",Food,need
I am hungre . I can not find food .,Food,need
I would like to get some information please,None,N/A
Person is sick and needs to go to hospital,Medical,need
"Help needed for food , Milk for kids in Lamentin 54 , Aurelle st , they have not received any help since the Quake ' . They are hungry .",Food,need
"Food distribution did not reach our area . We live in Paloma , rue Lemoine . .. please",Food,need
"I have heard from everyone . Now we are all in need of food . , We are in Jacmel Rue Axina Giles",Food,need
"Hi i would like to join my family in USA i have no home , no clothes , they do n't distribute food where i am .",Food,need
What do do in Pestel ? People keep coming and food is missing . And it 's difficult to make phone calls .,Food,need
please I would like to know what does that mean the ONG ? reply now please because i think you could take my care .,None,N/A
WE ASK FR HELP IN 4636 WE GOT NO ANSWER WE ARE HUNGRY,Food,need
My thought is that I would like you to love me sincerely . I wish for you to be the last with whom I want to share my life . Everything is ok my love .,None,N/A
"here , i'm i do n't find medicin just resting to die where i can find it ?",Medical,need
I am a victim . I am sleeping in the mist with my wife and children . We do n't have food . Please anot translated,Food,need
if i m in Jeremie how i can find a little food ? because the aids coming i do not find anything .,Food,need
"We are in Carrefour Airport streets every day , we gave food to 400 people morning noon night and we have not yet received any aide",Food,need
"Good night darling i love you so much , may the presence of Gog go with you . have some dreams when you 're dreaming myself . I love you Bye .",None,N/A
please send me the meaning of this word : Calling card,None,N/A
we need food here in Cavaillon . A lot of people come here from Port - au - Prince .,Food,need
Do n't send me anymore SMS text . OK . These SMS are useless to me . What I need is food to eat . OK .,Food,need
All local inhabitants needing food and shelter,Food,need
Can i eat without washing my hand ?,None,N/A
"good morning we are laboul number 16 , we have n't anything lost , but we need food",Food,need
Good evening Digicel . I have my neighbour who has a broken leg . He did not find any help so far . What can you do for him as a company that is helping earthquake victims in Haiti ?,Medical,need
"Good evening , we would like to have aid , we live in La Plaine , Marraine 26 . Our house is destroyed , we would fill our tank on the Montana ground but we ca n't because it 's fissured . The water source is broken on . ..",Water,need
"Hails , I 'm an   economist , accountant , I have ten years of experience in exp   cr a said I know the information on the job .",None,N/A
we do nt have anything to eat we are in St marie community in Canape Vert,Food,need
"zone in hunger their killing us in zone , we ca n't . ..",Food,need
there is now water for us to drink at St peter Place at all . If there is way for us to get it urgently .,Water,need
"I am Hungry , I need food to survive , please bring food",Food,need
people in N avenue said they did n't still find foods . so did they over ?,Food,need
Are the americans coming to occupy,None,N/A
Uste from deep of my heart . Bouy as well that I know THAT YOU'RE SUFFERING BECAUSE OF me . you 're with me.wait for the sms my heart .,None,N/A
Food distribution on Route Frere is not organized .,Food,need
"i am happy for your message , thanks . i want to said too , needed foods in the districts , particulary at Jacmel in the ' ' coq chante , Rochalet '' i ..",Food,need
We 're dying of hunger . Please help .,Food,need
I would like to have more informations about you .,None,N/A
Please make a transfer of 25 gourds for me to call the town hall now to make a report in Crois - des - Bouquet . Thanks in advance . God will refund it .,Food,need
WE need foods please . We are in needed .,Food,need
I do n't found Food and I need a Job . I live Kalbas Near Fort Jacques .,Food,need
"We need drinking water and tents for babies in Laval , Carrefour",Water,need
I would like to have some informations from the governmento about the school openning . when the school will be open ?,Energy,need
"thanks for the advice , but we still need to eat",Food,need
say month when the engineer passes has the house so that he can visualize,None,N/A
United Nation why do n't have many foods and then has many people hungry . please United Nation establish any jobs in every zone for the unhappy people .,Food,need
our houses got destroyed.can you help us,Medical,need
Who is next to us that could receive a PREGNANT WOMAN needing medical help ?,Medical,need
"We are hungry , where we are they never sent anything , please come see us on the Jacmel road .",Food,need
How the weathe will be tomorrow February 28th ?,None,N/A
"Please help me . I am very ill . I have a problem with my head , I 'm not ..",Medical,need
"We 're a group that 's made a camp in an adventist church that 's in Sarthe 53 , next to the garage Graham , facing the Jordanian base . There 's a lot of us , about 70 . ..",Medical,need
Throw me in the ocean because I can not take this rout / road ( in life ) all by myself .,None,N/A
Where can people from St. Marc find food ? We 're hungry .,Food,need
"I want everyone to know that the cards to get food , they change them every day .",None,N/A
"Good morning how are you ? Can you please let me know if you are giving out food in CROIX DES BOUQUETS , especially where i am right now in Latremblay . We need food .",Food,need
"I have got no mosquito net , I want one .",Medical,need
"We are the people from the mountain of Fontamara in Broyer near Bel - air , town of Alix . No one has come to us and our need is enormous . We have no water ..",Water,need
"Diapers , etc . Have big truck huge to store goods f / distribution and security . Rte Clercine , Butte Boyer , ( apres hotel Stephia Hotel ) , Impasse Gelin # 2 ,",Food,need
"we are in bois verna , near sogesol . We need food .",Food,need
The way food is being distributed is no good because there are some people who take a lot when others get nothing . I myself am in Leogane .,Food,need
"I was in PAP , lost my house . Now I am in Les cayes , where can I find the Food Pass please ?",Food,need
People needing water with baby Location : Beach 24,Water,need
"Number 2 , Please ! My wife is pregnant and about to deliver I 'm counting on you Thank you .",None,N/A
"We live in Siloe , Impasse Blanchard . we do n't have tents , we are homeless . We have made a request earlier to 4636 , we never got a response . Please , think about us and do something .",Medical,need
My goodness everybody getting food . Carrefour is not getting anything . Please send us something .,Food,need
Good Evening ! ! ! For National and international organization which are helping to save many lives . Please I want to eat but I do not have any food .,Food,need
Please I do n't understing wha the number said .,None,N/A
"Since tuesday January 13 a we have nowhere to sleep , nothing to eat .",Food,need
"Good evening , what i suppose to do , because after the earthquake i sleep out in the rain , my parents are hurted , they do n't find help .",Medical,need
"Not everybody got help , in riviere Froide in Carrefour we did not get anything at all , people are dying of Hunger .",Food,need
how can we find aid and food in fontamara ( carrefour ),Food,need
"I am with the people in Delmas 33 Z Silo that hit in the head , please send help",Medical,need
What we must do in petite - Riviere to treat water to drink ?,Water,need
I would like to know when school will be reopened in P - Au - P ?,None,N/A
"I want to cry , Every time I want to have a heard attack . Love when you want to hate . Your victory is sure . Share this info to all who are traumatized .",None,N/A
"today we get things to eat , tomorrow we wo n't find . ..",Food,need
I AM HUNGRY I LIIVE IN DELMAS 9,Food,need
"Digicel , please put some credit on our phones",None,N/A
"I count on your help and I beg you not to deceive me , my family and I have need for tents , food . Help me please !",Food,need
"In Santo 16 we have no food , help us , we 're hungry",Food,need
"Good morning , I live in Port - au - Prince , I would like to know the address of the organization CHF .",None,N/A
"Shelter and food are very important , how about some one who has n't a recipient ?",Food,need
Send the red cross - there is a little kid who fell into the toilet of the Pea House in Cite Militaire,Medical,need
"You have received 9,09 HTG your new balance is 9,10 HTG and expires the 30/03/2010 For any Pappadap of more than 55 HTG , you receive 10 of bonus Of 104",None,N/A
I feel like about to pass out but I 'm relying on you . who ever transmitting this message .,Medical,need
"I AM SICK , I HAVE FIEVER , PLEASE SEND ME A TENT , MY HOUSE IS IN METAL PLATES , NOT SO GOOD COME TO HELP ME",Medical,need
HOW CAN WE FIND ALIMENTARY HELP ?,Food,need
"Thank you for the good work you 're doing , it 's you who keep us informed of everything",None,N/A
Good Morning member of the organization . I would really like to be a member of this organization .,None,N/A
"We are dying , I feel my two feet are broken",Medical,need
"I would like to know whether students will be able to find jobs too , or is it only people who have a profession that will find work ?",None,N/A
? ? port au prince ? ? and food . they need goverment aid and international aid thak you . god bless haiti,Food,need
"I 'm hungry , That is why I am sending this message . ( no location provided )",Food,need
"Evaporate milk countrysideman,45pesos U.P.O.S : Union Post Office and Service 's",None,N/A
thank you for the SMS please give me on card,None,N/A
We need help at Hospital Gonaive . SEE BELOW,Medical,need
".. . everything . Until now we have n't received any aid . We 've lost a sister who left a 9 months baby with a 12 year - old . We urgently need aid : food , water , etc . in that / this . ..",Water,need
Sultan Kot need food assistance,Food,need
this person wants to know if only the people with card can get food ?,Food,need
God evening . I am asking an advice . I need to know how to find a visa my mother had applied for for me,None,N/A
"We are in Leogane . We have sheltered in a desert , we are sleeping by the free market of Leogane . We have not received anything so far . We are dying of hunger . Please help us .",Food,need
ALL THE AUTHORITIES OF THE COUNTRY MUST BE SUBMITTED THEIR LIVES TO GOD,None,N/A
"To make food to eat , do we have to mix water and mud ?",None,N/A
People on La Gonave are dying from hunger . They need help from NGOs .,Food,need
Which cream is good for skin blemishes ?,Medical,need
Is still there help in food for the poor,Food,need
"I have a lot of people in Croix - des - bouquets , rue Fort Dargout that are in misery . There 's us , and also lots of mothers with children and no food .",Food,need
where can i find transportation for free to go in the south,None,N/A
i do n't find the message because the number did n't appear,None,N/A
"We live on Impasse Fafan , by the rail road in Carrefour . We never got anything like food and tents . Our shelter houses 200 people .",Food,need
We have not have any water to drink for two weeks .,Water,need
"Flood has done a lot of damage in our village Kachipul . Our crop , our homes , and our business everything is gone . But still , the Government has not provided us any help .",Medical,need
I 'd like to know an email to find a job,None,N/A
I would like you to call me because I would like to talk to you .,None,N/A
Mariani 1 Prolong has not received even a drop of water,Water,need
Every hour ask God for forgiveness for Haiti . Only God can save us in this . Send this message to ten other people,None,N/A
hit us and some of us have broken arms and broken legs please come help us because we are dying in the cold .,Medical,need
"Laboule 12 prolongee , section Prosi NO FOOD NO STRUCTURE",Food,need
I would like information for digicell to make it functional,None,N/A
I would like to know what I can do to go to Senegal .,None,N/A
In Jacmel we never had anything from the PAM Food distribution,Food,need
I need to know some informations .,None,N/A
at some point the hunger is going to be even more of an issue if there is no aid,Food,need
I will come to pick you up at 11 o'clock . I am all yours my darling .,None,N/A
"you suffer too much because of our friendship darling , you would not be suffering like this , because although you had said you love me after 5 or",None,N/A
"I have problems . My house is destroyed . I am hungry . I 'm asking you to help me , please . I have 4 children .",Food,need
"They 're saying there will be a blackout during the next 3 days , and other things . Send a clear message for Haitians .",Energy,need
"I 'm hungry , I have n't received anything",Food,need
The person would like a mode of transportation,None,N/A
"WE NEED CARDS TO EAT AND WE SLEEP UNDER THE RAIN , SO WE NEED TENTS",Food,need
Please please in the Tabarre area we need electricity please even if it 's at 10 o'clock,Energy,need
( truncated ) at Gressier . So this is why I 'm asking the Haitian government to verify the status of the food they 're giving to the people . From - the haitian people,Food,need
I would like some info . on the earhtquake .,Medical,need
"United Nations say if you have some problem in your eyes , in your throat General hospital can help you , if you get fever go to see a docter quickly .",Medical,need
"I never find nothing , nor shelter nor food .",Food,need
Call me please cause I do n't have card .,None,N/A
"I am disaster - stricken in Port - au - Prince I ( do n't ? -trans . ) know what I 'm going to do to live . Help me , Digicel which is my company",Medical,need
Thaks a lot for the message 11 days after . .. . like this message by SMS I received but did not receive a glass of water for life .,Water,need
"WHAT CAN I DO WHEN THE FOOD IS FINISHED RIGHT IN FRONT OF ME , WHAT CAN I DO WITH THE CARD ?",Food,need
"Good morning my dear we have many problems , why in my area we do n't taste anything on Route Las Cahobas Chambrun .",None,N/A
"Hello , please send me 50 gourds , it is important .",None,N/A
"Work i 'll pay every one i owned . i count on you , thank you .",None,N/A
I never seen any response to me,None,N/A
Do n't understand your message !,None,N/A
We need water in 57 to serve us thereas 100 families that suffer make a way for us .,Water,need
Please send food for the Victims in St - Marc,Food,need
"I heard that American came to help us , however we are dying with hunger , only thing we saw is a bunch of American soldiers . It is not that kind of help we are requesting .",Food,need
"Good evening , I would like information about Petionville .",None,N/A
"Let 's do it together , need food in Delma 75 , in didine area",Food,need
"It 's always that way , it 's what keeps us in misery . The people who govern because they 've got one thing in their heads , that 's their own pockets and ..",None,N/A
"they do n't take care of us , we 're hungry , we never receive nothing , please send something for us , thank you",Food,need
NOTES : this is not an important message . This is not an important message,None,N/A
"La Gonave residents have many difficulties about food . It 's harder in first section Palma . Listen to their voice suffuring , please .",Food,need
Gonaives need help with food Urgent !,Food,need
good evening i 'm writing just to have some information on how we can get to Senegal,None,N/A
We need tents and food in the Guedon Zone of Crois - Des - Bouquets,Food,need
UN reports Leogane 80 - 90 destroyed . Only Hospital St. Croix functioning . Needs supplies desperately .,Medical,need
"We 're in Minotri , we have n't gotten rice yet , we 're dying of hunger",Food,need
LA GONAVE NEED HELP WORK AND MEDICATIONS,Medical,need
I am from village Alhadiino Khaskheli . Why I am not receiving any material from Englishmen in my village?I appeal to you let us have a ration . I am a very troubled because I was living only on agricultural products which is now all drowned by flood .,Food,need
I CAN'T GET THROUGH ANY OTHER PHONES BUT DIGICEL,None,N/A
"WE ARE IN CROIX DES BOUQUETS 17 ROAD MALPASSE BEFORE THE BRIDGE MICHAUD , WE ARE ALL VERY HUNGRY",Food,need
"I have no card , tell me what kind of SMS I need to send",None,N/A
"We are in Galet , we are hungry - Tabarre 41 a little further up from the american embassy .",Food,need
I am a victim . I have a head wound . I am not comfortable at all . How can I find help with this sickness ..,Medical,need
"My friends we 're here in Miragoane , we need help , we 're in the street , cold and hungry .",Food,need
How can you help us find some food . Hunger is killing us here . Thank you in advance . I m couinting on you,Food,need
"My friends , after God , it is on you that I count . Please hear me , there are 3 children with me and a niece . It could be a little food or a little money . What God puts in your heart .",Food,need
What are the latest news about Haiti ?,None,N/A
we are in a refugee camp in delmas 41 in front of Teleco . we are more then 500 people . we lost are houses . we need help please,Medical,need
