Text,Class,Type
We finally got huge tree off Monday.. Before house got anymore structural damage before this new storm..still the damage is done..,None,N/A
# Sandy update 3 : @ KiranCreates & I have no power or cell at Union Sq apart . Camped out at Roosevelt Hotel lobby charging phones along w many,Energy,need
Sandy relief efforts in full swing @ foodcoop @ Park Slope Food Coop http : //t.co/XN3QwUct,None,N/A
# foodtruck to the rescue # eastvillage # nyc # sandy # ignyc # below39thStreet @ gothamist @ Ninth Street Espresso http : //t.co/Hq0yYNHR,None,N/A
"Sandy Takes NY Out : ... ..and now the morning after , this is no lovable affair . @ NYCurrent @ New York http : //t.co/tqqvBf80",None,N/A
"South Fin Grill will be serving hot food to those who are in need . Soup , Pasta , Coffee & Tea .",Food,resource
Great organizational skills sorting donated goods . Worked past weekend sorting clothes and food items donated by Toledo area to fill 3 30 ' trucks . Have worked with seniors and children . Computer and office skills . Food prep . 3/4 ton truck 4x4 . My husband is retired and ready to help as well .,Food,resource
I do n't have a car however I can help distribute water and clothing .,Water,resource
"I would like to help in any way that I can . Cook hot foods , donate goods , give people rides , help people find new lodging . Anything !",Food,resource
food prep yoga classes supply runs organization,Food,resource
What we thought could never happen : Dark # Streets of # Manhattan due to power outage . # sandy # d @ 34th Street http : //t.co/081fmHg8,Energy,need
"Women 's clothing , young boy 's clothing . Non perishable foods . Toys and books .",Food,resource
"Hide your kids , hide your wife ... ... And hide your husband cuz , # HurricaneSandy is coming fo @ 10th Ave Beach http : //t.co/Jw2aoKts",None,N/A
"yes ... hello name is ****************** ... want to help out with my peers of kingsborough community college we are of project rise program ... whatever we can help with we will do ... i am willing to get clothes , food , blankets , etc ... whatever else may be needed even furniture ... i will gladly give to those who need ... however i do not have transportation ... i am getting a plan together with students and teachers for transportation and such ! ! ! but we need a volunteer group such as this to hook up with so we can all come together to restore ny ! ! !",Food,resource
sandy let me charge my dam phone b4 u cut my lights off .,Energy,need
Stocking up on some food before the storm ( @ Western Beef ) http : //t.co/grQqaolg,None,N/A
"I 'm safe , I 'm alive ... ..I 'm here. # SandySurvivor",None,N/A
"paper products , pet food , canned food , hygiene products , diapers",Food,resource
So like where 's sandy ? It 's not even raining ... .,None,N/A
"Sent another email to ****************** for help . ****************** offered to donate clothing , non-perishable food , cleaning supplies , baby supplies , baby clothing , toys and other goods",Food,resource
Happy to help with food prep and delivery,Food,resource
"Items from the drugstore : toilet paper , hygiene products , otc medicines , socks and underwear , etc .",Medical,resource
When res life turns off our fridge for the hurricane and all our food goes bad # bummer,None,N/A
"assist in distribution of food , supplies , clothing .",Food,resource
"Hi , I am from Baltimore and wanted to organize a drive for your residents and arrange a time to deliver the items . What kinds of special needs do your residents have ? I saw on nightline that many of your residents need food and clothing . Please let us know how our community can help you . Thank you in advance .",Food,resource
I can bring food and/or basic need items .,Food,resource
"I have cloths I can donate , tools food",Food,resource
Here is a list of the items we have to offer : *Men 's & Women 's coats and winter wear *Children 's coats and winter wear ( boys & girls ) *Children 's and baby toys and stuffed animals ( all new w/tags ) *Blankets ( all new w/tags ) *Toiletries/Hygiene products *Water *Cleaning supplies,Water,resource
We are in Puttsburgh but could come for a specific project or bringing food and supplies and can provide shelter for the displaced without somewhere to go,Food,resource
@ BinStunting just Tryna escape sandy ... .u have a gr8 weekend too,None,N/A
"Oh boy , power just went in and out ... Indication that it may go out soon.. # salty # Sandy",Energy,need
"diapers , batteries , baby wipes , toothpaste , toothbrushes , trash bags",Energy,resource
We have clothes and brand new shoes for all sizes we have baby diapers car seats high chair and some other baby items we have hygine products like wipes toothbrush ect . Also have some food items non perishable and have kids toys . We also have a bike . And blankets ! And possibly some cleaning products .,Food,resource
the big storm Hurricane Sandy : The calm before the big storm Hurricane Sandy has necrosis and the U.S. has ... http : //t.co/dfK1xn9s,None,N/A
"Hurricane # Sandy I hate you ! ! Another day with no power , they are saying NEXT week , I 'm gon na die !",Energy,need
baby supplies or prepared foods - are sandwiches or hot pasta acceptible ?,Food,resource
"clothing , baby supplies , painkillers",Medical,resource
It 's snowing ... A lot ... ... Oh HAYLL nah ! ! ! ! No ! No ! No ! # stormpart2,None,N/A
"Our family speaks russian and hebrew as well as english , and we have a car to deliver food or supplies and we have two kids who would be very handy in a soup kitchen",Food,resource
"I can make sandwiches , distribute food to people , play with kids ... .Oh , also , I live in Alphabet City ( E 7th & Ave C ) –I know help is needed in that area .",Food,resource
Finally at my Uncle 's house in Brooklyn . Gon na take my first hot shower in *muffles mouth* ? Days ... # DontJudgeMe # SandyLife Night All ...,None,N/A
water,Water,resource
@ cedricbixler_ha ! Seriously though ... ... you got his number ? # HurricaneSandy # blade,None,N/A
"I am in decent shape , so can climb stairs to deliver food and water to folks in high rises . I also have a backpack , which could make it easier to truck stuff up stairs .",Water,resource
can do water distribution .,Water,resource
Wow sirens are crazy here.. I guess a building may have collapsed on 15th and 8th 1 block from my apt ... . # HurricaneSandy,None,N/A
"I have baby items , non-perishable food , and hygiene products . Where can I bring them ? !",Food,resource
Baby formula and other food,Food,resource
"also have socks , batteries , flashlights , blankets",Energy,resource
Food delivery,Food,resource
We need a pump and generator . Our basement has about a foot of water .,Energy,need
"I have a big comforter , several cans of food , 4 candles , 2 large boxes of matches . Will try to gather some feminine products , etc . as well . It 's not a huge amount , but hopefully all helpful stuff !",Food,resource
Chili ( vegan ),Food,resource
this storm is no joke wtf ... ..,None,N/A
Making food ... Being home during Hurricane Sandy ! : ),None,N/A
I am happy to help with whatever kind of low-skill clean-up jobs are needed .,None,resource
"We are Rescue Ministries Church , a Soup Kitchen and Food Pantry located at 2083 Richmond Terrace . We will be bring Hot meals to Hurricane site to feed the need . We need all paper products and foil trays to prepare , transport , and burners to keep food hot to serve food to the communities in need . Cleaning supplies including gloves , masks , trash bags , baby supplies , and famine products . We have noticed that there is also a need for sleeping bags , coats , winter gloves for all age groups . We will prepare food at church to bring to sites by 10:00 am . For more information please call contact number .",Food,need
Happy to drop off whatever is most needed . Food and flashlights .,Food,resource
"Hi , my name is ******* . I have non perishable food , blankets and jackets i would love to donate . *********** please contact me so i can deliver the goods",Food,resource
Chasing Jagger with Guinness ... ..hurricane party @ James_Mahon @ Joseph_Ruggiero @ crebaudo ... . @ amanda__ryan and @ ErinDiver were u at ?,None,N/A
Food preparation,Food,resource
Redcross came to my house and gave my family food ... . Guess were not getting power anytime soon . # sandy # RedCross,None,N/A
"looking for warm clothes ... coats , hats , gloves ... flashlights/batteries ... any advice would help ...",Energy,need
I am a computer engineer . I can help people recover data from computers damaged by flood water .,Water,resource
"Some clean up tools , medication and clothes",Medical,resource
NYC consulting firm looking to donate non-perishables and supplies,Food,resource
"cooking , shlepping , cleaning , distributing food , going from door to door .",Food,resource
Food distibrution . Assist with Non-Profit Organizations in any way possible . Have small Car to travel or transport goods .,Food,resource
# HoesBeTwerkin to Twerk up the east coast . Ohhhh wait ... .. # HurricaneSandy,None,N/A
I havs plenty of clothes but also can bring canned items . And could make and bring some food .,Food,resource
"I would n't say I 'm an expert in any area above but I would be willing to help man food/water/supplies distribution , to organize supplies for distribution , and I would be willing to help clear debris and clean .",Water,resource
I can give several gallons of bottled water,Water,resource
Non-perishable food . All I can carry/afford,Food,resource
"Good evening , My name is **************** and I am a senior at Brooklyn Technical High School . There have been many students and faculty here who have been affected by Hurricane Sandy . I am interested in holding a Hurricane Sandy Relief Effort Drive and will be collecting non-perishable , canned goods and lightly used clothing . Please let me know if you are interested in collecting these goods so that we may arrange something . My email address is : *************** and my phone number is ***************** . Thanks , *********** .",Food,resource
"Still need baby food , women 's shoes ( 9.5 to 10 ) and grocery type food .",Food,need
Can cook and serve food,Food,resource
Provide hot food .,Food,resource
"In case of hurricane , buy as much junk food as possible ... @ ShopRite http : //t.co/GHNOaHRC",None,N/A
BB scouting team on the move ... FDR flooded ... # Sandy http : //t.co/Gvv2FQp3,None,N/A
"adult , child , infant certified first aid/CPR",Medical,resource
We can bring prepared food and kid snacks .,Food,resource
"I am an accountant , so I could help with financial services of some type , but I would simply like to lend a strong back and/or general handyman skills . I have basic tools - but would be happy to purchase specific tools that are needed , assuming that the local hardware store or Home Depot has them .",Medical,resource
I feel like this hurricane is taking us back to the olden days ... gon na go hiring a foraging for food in the forest tomorrow,None,N/A
"food preparation , supply distribution , meal distribution",Food,resource
"will bring food , donations , and whatever i can !",Food,resource
Over 25 people in line at Starbucks . People need coffee as much as they need food and gas post # Sandy ( @ Starbucks ) http : //t.co/T7G3fBJg,None,N/A
My powers out : / ... . no Xbox today ... **** Hurricane Sandy ... : (,Energy,need
"Clothing , non-perishables , pet food , hygiene products",Food,resource
"Just generally want to help out -- cleaning , packing food , etc . Thanks !",Food,resource
